round,host_result,host_detail,attach_delay_s,pre_json,post_json
1,PASS,"Found DFU: [1a86:8035] ver=0100, devnum=6, cfg=1, intf=0, path=""1-1.1.2"", alt=0, name=""UNKNOWN"", serial=""UNKNOWN""",3,"{'pc': '0000081a', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '00000816', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'b1', 'int_en': '07', 'dev_addr': '00', 'mis_st': '20', 'int_fg': '28', 'int_st': '30', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': '02', 'magic': '00000000'}","{'pc': '00000816', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '00000816', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'a1', 'int_en': '07', 'dev_addr': '06', 'mis_st': '20', 'int_fg': '68', 'int_st': '70', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': 'c0', 'magic': '00000000'}"
2,PASS,"Found DFU: [1a86:8035] ver=0100, devnum=6, cfg=1, intf=0, path=""1-1.1.2"", alt=0, name=""UNKNOWN"", serial=""UNKNOWN""",3,"{'pc': '00000816', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '00000816', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'b1', 'int_en': '07', 'dev_addr': '00', 'mis_st': '20', 'int_fg': '28', 'int_st': '30', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': '02', 'magic': '00000000'}","{'pc': '00000816', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '0000081a', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'a1', 'int_en': '07', 'dev_addr': '06', 'mis_st': '20', 'int_fg': '68', 'int_st': '70', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': 'c0', 'magic': '00000000'}"
3,PASS,"Found DFU: [1a86:8035] ver=0100, devnum=6, cfg=1, intf=0, path=""1-1.1.2"", alt=0, name=""UNKNOWN"", serial=""UNKNOWN""",3,"{'pc': '00000816', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '0000081a', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'b1', 'int_en': '07', 'dev_addr': '00', 'mis_st': '20', 'int_fg': '28', 'int_st': '30', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': '02', 'magic': '00000000'}","{'pc': '00000816', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '00000816', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'a1', 'int_en': '07', 'dev_addr': '06', 'mis_st': '20', 'int_fg': '68', 'int_st': '70', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': 'c0', 'magic': '00000000'}"
4,PASS,"Found DFU: [1a86:8035] ver=0100, devnum=6, cfg=1, intf=0, path=""1-1.1.2"", alt=0, name=""UNKNOWN"", serial=""UNKNOWN""",3,"{'pc': '00000816', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '00000816', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'b1', 'int_en': '07', 'dev_addr': '00', 'mis_st': '20', 'int_fg': '28', 'int_st': '30', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': '02', 'magic': '00000000'}","{'pc': '00000816', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '00000816', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'a1', 'int_en': '07', 'dev_addr': '06', 'mis_st': '20', 'int_fg': '68', 'int_st': '70', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': 'c0', 'magic': '00000000'}"
5,PASS,"Found DFU: [1a86:8035] ver=0100, devnum=6, cfg=1, intf=0, path=""1-1.1.2"", alt=0, name=""UNKNOWN"", serial=""UNKNOWN""",3,"{'pc': '00000816', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '00000816', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'b1', 'int_en': '07', 'dev_addr': '00', 'mis_st': '20', 'int_fg': '28', 'int_st': '30', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': '02', 'magic': '00000000'}","{'pc': '00000816', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '0000081a', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'a1', 'int_en': '07', 'dev_addr': '06', 'mis_st': '20', 'int_fg': '68', 'int_st': '70', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': 'c0', 'magic': '00000000'}"
6,PASS,"Found DFU: [1a86:8035] ver=0100, devnum=6, cfg=1, intf=0, path=""1-1.1.2"", alt=0, name=""UNKNOWN"", serial=""UNKNOWN""",3,"{'pc': '0000081a', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '0000081a', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'b1', 'int_en': '07', 'dev_addr': '00', 'mis_st': 'a0', 'int_fg': '28', 'int_st': '30', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': '02', 'magic': '00000000'}","{'pc': '00000816', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '00000816', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'a1', 'int_en': '07', 'dev_addr': '06', 'mis_st': '20', 'int_fg': '68', 'int_st': '70', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': 'c0', 'magic': '00000000'}"
7,PASS,"Found DFU: [1a86:8035] ver=0100, devnum=6, cfg=1, intf=0, path=""1-1.1.2"", alt=0, name=""UNKNOWN"", serial=""UNKNOWN""",3,"{'pc': '00000816', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '00000816', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'b1', 'int_en': '07', 'dev_addr': '00', 'mis_st': '20', 'int_fg': '28', 'int_st': '30', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': '02', 'magic': '00000000'}","{'pc': '00000816', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '00000816', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'a1', 'int_en': '07', 'dev_addr': '06', 'mis_st': '20', 'int_fg': '68', 'int_st': '70', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': 'c0', 'magic': '00000000'}"
8,PASS,"Found DFU: [1a86:8035] ver=0100, devnum=6, cfg=1, intf=0, path=""1-1.1.2"", alt=0, name=""UNKNOWN"", serial=""UNKNOWN""",3,"{'pc': '0000081a', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '00000816', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'a1', 'int_en': '07', 'dev_addr': '00', 'mis_st': '20', 'int_fg': '28', 'int_st': '30', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': '02', 'magic': '00000000'}","{'pc': '00000816', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '00000816', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'a1', 'int_en': '07', 'dev_addr': '06', 'mis_st': '20', 'int_fg': '68', 'int_st': '70', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': 'c0', 'magic': '00000000'}"
9,PASS,"Found DFU: [1a86:8035] ver=0100, devnum=6, cfg=1, intf=0, path=""1-1.1.2"", alt=0, name=""UNKNOWN"", serial=""UNKNOWN""",3,"{'pc': '00000816', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '00000816', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'b1', 'int_en': '07', 'dev_addr': '00', 'mis_st': '20', 'int_fg': '28', 'int_st': '30', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': '02', 'magic': '00000000'}","{'pc': '00000816', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '0000081a', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'a1', 'int_en': '07', 'dev_addr': '06', 'mis_st': '20', 'int_fg': '68', 'int_st': '70', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': 'c0', 'magic': '00000000'}"
10,PASS,"Found DFU: [1a86:8035] ver=0100, devnum=6, cfg=1, intf=0, path=""1-1.1.2"", alt=0, name=""UNKNOWN"", serial=""UNKNOWN""",3,"{'pc': '0000081a', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '0000081a', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'b1', 'int_en': '07', 'dev_addr': '00', 'mis_st': '20', 'int_fg': '28', 'int_st': '30', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': '02', 'magic': '00000000'}","{'pc': '00000816', 'sp': '20004fc0', 'mcause': '8000002d', 'mepc': '00000816', 'afio_ctlr': 'cc', 'base_ctrl': '29', 'udev_ctrl': 'a1', 'int_en': '07', 'dev_addr': '06', 'mis_st': '20', 'int_fg': '68', 'int_st': '70', 'uep0_dma': '00000170', 'uep0_tx_len': '00', 'uep0_ctrl_h': 'c0', 'magic': '00000000'}"
